"ThetaMin","ThetaMax","PhiMin","PhiMax","P1_Q1_index","P2_Q2_index","P3_Q3_index","T_r"
3798,3936,1170,1308,34,35,42,945
3666,3936,1302,1572,35,40,82,934
3930,4068,1044,1176,34,35,42,941
3930,4068,1170,1308,34,35,42,946
4062,4200,1044,1176,34,35,42,941
4062,4200,1170,1308,34,35,42,946
3930,4200,1302,1572,35,41,82,935
3666,3936,1566,1836,35,41,82,932
3666,3936,1830,2100,35,41,81,931
3930,4200,1566,1836,35,41,82,932
3930,4200,1830,2100,35,41,81,929
2094,2358,2094,2358,34,41,81,932
2094,2358,2352,2622,34,41,81,934
2352,2622,2094,2358,34,41,81,933
2352,2622,2352,2622,34,41,81,933
2094,2358,2616,2886,34,41,80,933
2094,2358,2880,3150,21,41,85,932
2352,2622,2616,2886,34,41,85,928
2352,2622,2880,3150,22,41,85,933
2616,2886,2094,2358,34,41,81,933
2616,2886,2352,2622,34,41,81,932
2880,3150,2094,2358,34,41,81,933
2880,3150,2352,2622,34,41,81,938
2616,2886,2616,2886,34,41,81,930
2616,2886,2880,3150,22,41,85,935
2880,3150,2616,2886,34,41,81,931
2880,3150,2880,3150,22,41,85,936
2094,2358,3144,3408,21,41,85,937
2094,2358,3402,3672,21,41,85,936
2352,2622,3144,3408,21,41,85,933
2352,2622,3402,3672,21,41,85,936
2094,2358,3666,3936,20,41,85,945
2094,2358,3930,4200,20,41,85,947
2352,2622,3666,3936,21,41,85,946
2352,2622,3930,4200,20,41,85,946
2616,2886,3144,3408,21,41,85,935
2616,2886,3402,3672,21,41,85,934
2880,3150,3144,3408,21,41,85,936
2880,3150,3402,3672,21,41,85,935
2616,2886,3666,3936,21,41,85,947
2616,2886,3930,4200,20,80,34,945
2880,3150,3666,3936,21,80,34,934
2880,3150,3930,4200,20,80,34,934
3144,3408,2094,2358,35,41,81,932
3144,3276,2352,2490,34,41,81,946
3144,3276,2484,2622,22,41,84,937
3270,3408,2352,2490,34,41,81,946
3270,3408,2484,2622,22,41,84,938
3402,3672,2094,2358,35,41,81,935
3402,3540,2352,2490,34,41,81,945
3402,3540,2484,2622,22,41,84,939
3534,3672,2352,2490,34,41,81,945
3534,3672,2484,2622,22,41,84,939
3144,3276,2616,2754,22,41,84,940
3144,3276,2748,2886,21,41,84,943
3270,3408,2616,2754,22,41,84,941
3270,3408,2748,2886,22,41,84,943
3144,3408,2880,3150,22,41,85,937
3402,3540,2616,2754,22,41,84,941
3402,3540,2748,2886,22,41,85,944
3534,3672,2616,2754,22,41,84,942
3534,3672,2748,2886,22,41,85,944
3402,3672,2880,3150,22,41,85,937
3666,3936,2094,2358,35,41,81,935
3666,3936,2352,2622,35,41,81,929
3930,4200,2094,2358,35,41,81,936
3930,4200,2352,2622,35,41,81,930
3666,3804,2616,2754,22,41,84,942
3666,3804,2748,2886,22,41,85,945
3798,3936,2616,2754,22,41,84,943
3798,3936,2748,2886,22,41,85,945
3666,3936,2880,3150,22,41,85,938
3930,4200,2616,2886,35,41,81,936
3930,4200,2880,3150,22,41,85,938
3144,3408,3144,3408,21,41,85,937
3144,3408,3402,3672,21,41,85,937
3402,3672,3144,3408,21,41,85,936
3402,3540,3402,3540,21,41,85,947
3402,3540,3534,3672,21,41,85,947
3534,3672,3402,3540,21,41,85,948
3534,3672,3534,3672,21,41,85,948
3144,3276,3666,3804,21,41,85,945
3144,3276,3798,3936,20,41,85,945
3270,3408,3666,3804,21,41,85,946
3270,3408,3798,3936,20,41,85,946
3144,3276,3930,4068,20,41,85,944
3144,3276,4062,4200,20,41,85,944
3270,3408,3930,4068,20,41,85,945
3270,3408,4062,4200,20,41,85,945
3402,3540,3666,3804,21,41,85,947
3402,3540,3798,3936,21,41,85,946
3534,3672,3666,3804,21,41,85,947
3534,3672,3798,3936,21,41,85,947
3402,3540,3930,4068,20,41,85,946
3402,3540,4062,4200,20,80,34,946
3534,3672,3930,4068,20,80,34,947
3534,3672,4062,4200,20,80,34,938
3666,3936,3144,3408,21,41,85,936
3666,3804,3402,3540,21,41,85,947
3666,3804,3534,3672,21,41,85,948
3798,3936,3402,3540,21,41,85,949
3798,3936,3534,3672,21,80,34,948
3930,4068,3144,3276,21,41,85,945
3930,4068,3270,3408,21,41,85,950
4062,4200,3144,3276,21,41,85,945
4062,4200,3270,3408,21,81,85,951
3930,4068,3402,3540,21,81,34,950
3930,4068,3534,3672,21,80,34,947
4062,4200,3402,3540,21,81,85,951
4062,4134,3534,3606,21,42,34,955
4062,4134,3600,3672,21,42,34,952
4128,4200,3534,3606,21,42,34,955
4128,4200,3600,3672,21,42,34,955
3666,3804,3666,3804,21,80,34,948
3666,3804,3798,3936,21,80,34,948
3798,3936,3666,3804,21,80,34,949
3798,3936,3798,3936,21,80,34,949
3666,3804,3930,4068,20,80,34,948
3666,3804,4062,4200,20,80,34,940
3798,3936,3930,4068,21,80,34,939
3798,3936,4062,4200,20,80,34,941
3930,4068,3666,3804,21,80,34,949
3930,4068,3798,3936,21,80,85,938
4062,4200,3666,3804,21,80,85,948
4062,4200,3798,3936,21,80,85,939
3930,4002,3930,4002,20,80,34,944
3930,4002,3996,4068,20,80,34,945
3996,4068,3930,4002,20,80,34,944
3996,4068,3996,4068,20,80,34,945
3930,4068,4062,4200,20,80,86,942
4062,4200,3930,4068,21,80,86,941
4062,4200,4062,4200,21,80,86,943
-6,258,4194,4458,20,79,85,936
-6,258,4452,4722,20,79,85,940
252,390,4194,4326,20,79,85,945
252,390,4320,4458,19,79,85,943
384,522,4194,4326,20,41,85,944
384,522,4320,4458,20,41,85,948
252,522,4452,4722,20,79,85,939
-6,258,4716,4986,19,79,85,940
-6,258,4980,5250,19,23,66,940
252,522,4716,4986,19,79,85,938
252,522,4980,5250,19,23,66,938
516,654,4194,4326,20,41,85,943
516,654,4320,4458,20,41,85,947
648,786,4194,4326,20,41,85,946
648,786,4320,4458,20,41,85,946
516,654,4452,4590,19,41,85,947
516,654,4584,4722,19,41,85,946
648,786,4452,4590,20,41,85,946
648,786,4584,4722,19,41,85,945
780,918,4194,4326,20,41,85,945
780,918,4320,4458,20,41,85,945
912,1050,4194,4326,20,41,85,944
912,1050,4320,4458,20,41,85,944
780,918,4452,4590,20,41,85,945
780,918,4584,4722,19,41,85,944
912,1050,4452,4590,20,41,85,944
912,1050,4584,4722,20,41,85,954
516,654,4716,4854,19,41,85,946
516,654,4848,4986,19,23,66,946
648,786,4716,4854,19,41,85,945
648,786,4848,4986,19,23,66,945
516,786,4980,5250,19,23,66,936
780,918,4716,4854,19,41,85,944
780,918,4848,4986,19,23,66,955
912,1050,4716,4854,19,41,85,955
912,1050,4848,4986,19,23,66,956
780,1050,4980,5250,19,23,66,946
-6,258,5244,5508,19,23,66,940
-6,258,5502,5772,19,24,65,940
252,522,5244,5508,19,23,66,938
252,522,5502,5772,19,24,66,937
-6,258,5766,6036,19,24,65,940
-6,258,6030,6300,19,24,65,939
252,522,5766,6036,19,24,65,937
252,522,6030,6300,19,24,65,943
516,786,5244,5508,19,24,66,945
516,786,5502,5772,19,24,66,945
780,1050,5244,5508,19,24,66,946
780,1050,5502,5772,19,24,66,945
516,786,5766,6036,19,24,65,945
516,786,6030,6300,19,24,65,945
780,1050,5766,6036,19,24,65,944
780,1050,6030,6300,19,24,65,943
1044,1308,4194,4458,20,41,85,942
1044,1308,4452,4722,20,41,85,942
1302,1572,4194,4458,20,41,85,943
1302,1572,4452,4722,20,41,85,940
1044,1308,4716,4986,20,41,85,945
1044,1308,4980,5250,20,23,66,946
1302,1572,4716,4986,20,41,85,943
1302,1572,4980,5250,20,23,66,945
1566,1836,4194,4458,20,41,85,944
1566,1836,4452,4722,20,41,85,943
1830,2100,4194,4458,20,41,85,945
1830,1968,4452,4590,20,41,85,953
1830,1968,4584,4722,20,41,85,952
1962,2100,4452,4590,20,41,85,954
1962,2100,4584,4722,20,41,85,953
1566,1704,4716,4854,20,41,85,950
1566,1704,4848,4986,20,23,67,949
1698,1836,4716,4854,20,41,85,949
1698,1836,4848,4986,20,23,67,950
1566,1836,4980,5250,20,24,66,944
1830,1968,4716,4854,20,23,67,951
1830,1968,4848,4986,20,23,67,949
1962,2100,4716,4854,20,23,67,952
1962,2100,4848,4986,20,23,67,948
1830,2100,4980,5250,20,24,66,940
1044,1308,5244,5508,19,24,66,945
1044,1308,5502,5772,19,24,66,944
1302,1572,5244,5508,20,24,66,944
1302,1572,5502,5772,19,24,66,942
1044,1308,5766,6036,19,24,66,942
1044,1308,6030,6300,19,24,65,941
1302,1572,5766,6036,19,24,66,941
1302,1572,6030,6300,19,24,65,939
1566,1836,5244,5508,20,24,66,942
1566,1836,5502,5772,20,24,66,940
1830,2100,5244,5508,20,24,66,938
1830,2100,5502,5772,20,24,66,938
1566,1836,5766,6036,19,24,66,939
1566,1836,6030,6300,19,24,66,937
1830,2100,5766,6036,19,24,66,933
1830,2100,6030,6300,19,24,66,936
-6,258,6294,6558,19,24,65,940
-6,258,6552,6822,19,24,65,939
252,522,6294,6558,19,24,65,943
252,522,6552,6822,19,24,65,943
-6,258,6816,7086,7,24,68,935
-6,258,7080,7350,7,24,68,937
252,522,6816,7086,8,24,68,943
252,522,7080,7350,7,24,68,942
516,786,6294,6558,19,24,65,943
516,786,6552,6822,19,24,65,942
780,1050,6294,6558,19,24,65,941
780,1050,6552,6822,19,24,65,940
516,786,6816,7086,8,24,68,941
516,654,7080,7218,7,24,68,950
516,654,7212,7350,7,24,68,949
648,786,7080,7218,7,24,68,949
648,786,7212,7350,7,24,68,948
780,1050,6816,7086,8,24,68,939
780,918,7080,7218,7,24,68,947
780,918,7212,7350,7,24,68,946
912,1050,7080,7218,7,24,68,946
912,1050,7212,7350,7,24,68,945
-6,126,7344,7476,7,24,68,950
-6,126,7470,7608,6,24,68,950
120,258,7344,7476,7,24,68,948
120,258,7470,7608,6,24,68,949
-6,126,7602,7740,6,24,68,949
-6,126,7734,7872,6,24,68,949
120,258,7602,7740,6,24,68,950
120,258,7734,7872,6,24,68,950
252,390,7344,7476,7,24,68,946
252,390,7470,7608,7,24,68,947
384,522,7344,7476,7,24,68,944
384,522,7470,7608,7,24,68,945
